"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"IL","CH","Middle East","Eurocontrol","Israel","Switzerland","inbound",0,0,0,0,0,0,0,0,0,0,1946,1887,1873,1901,1894
"IL","DE","Middle East","Eurocontrol","Israel","Germany","inbound",1996,1963,0,0,2013,2323,2309,2567,2931,3161,3188,3511,3782,4129,4499
"IL","ES","Middle East","Eurocontrol","Israel","Spain","inbound",0,0,0,0,0,0,0,2032,1931,2246,2458,2225,2202,2318,2464
"IL","FR","Middle East","Eurocontrol","Israel","France","inbound",1993,0,0,1964,2110,2426,2671,2819,2592,2748,3024,3089,3511,3682,3867
"IL","GB","Middle East","Eurocontrol","Israel","United Kingdom","inbound",1937,1849,0,1864,1865,2011,2108,2452,2582,2260,2273,2226,2805,2850,3066
"IL","GR","Middle East","Eurocontrol","Israel","Greece","inbound",0,0,0,0,0,0,0,0,0,2167,2527,2681,2706,3221,3560
"IL","IT","Middle East","Eurocontrol","Israel","Italy","inbound",2063,0,0,1977,2322,2356,2723,3023,3343,3744,3630,3595,3833,4081,4208
"IL","RU","Middle East","Asia","Israel","Russian Federation","overflying",0,0,0,0,0,2005,2335,2974,2913,3489,3819,3762,3794,3989,3305
"IL","TR","Middle East","Eurocontrol","Israel","Turkey","inbound",2783,2443,2728,2639,3028,3173,3827,4849,3744,2634,2645,3040,4595,5372,6062
"IL","UA","Middle East","Eurocontrol","Israel","Ukraine","inbound",0,0,0,0,0,0,0,0,0,0,2158,2256,2011,1905,2114
"IL","US","Middle East","America","Israel","United States","overflying",0,0,0,0,1896,2375,2621,2739,2740,2897,2720,2622,2666,2663,2747
"IN","DE","Asia","Eurocontrol","India","Germany","inbound",0,0,0,2323,2823,3190,3250,3374,4055,4092,3881,3858,3850,3804,3710
"IN","FR","Asia","Eurocontrol","India","France","inbound",0,0,0,0,1830,2077,1867,0,0,0,0,0,0,0,0
"IN","GB","Asia","Eurocontrol","India","United Kingdom","inbound",2034,1957,1952,2529,4009,6283,6853,6721,6547,6294,6523,5545,6072,6070,5889
"IN","US","Asia","America","India","United States","overflying",0,0,0,0,0,0,0,1898,1827,0,1850,0,0,0,0
"IQ","TR","Middle East","Eurocontrol","Iraq","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,1893,3346,3885,4711,6539
"IR","SY","Middle East","Middle East","Iran, Islamic Republic of","Syrian Arab Republic","overflying",0,0,0,0,0,0,0,0,0,2369,0,0,0,0,0
"IR","TR","Middle East","Eurocontrol","Iran, Islamic Republic of","Turkey","inbound",0,0,0,0,0,0,0,1904,2566,3480,4457,5132,5809,7874,8881
"IS","DK","America","Eurocontrol","Iceland","Denmark","inbound",0,0,0,0,0,0,1852,0,0,0,0,0,0,0,0
"IS","GB","America","Eurocontrol","Iceland","United Kingdom","inbound",2177,1888,2365,2682,2770,3063,3223,2811,2218,2273,2361,2420,2933,3535,4024
"IT","AE","Eurocontrol","Middle East","Italy","United Arab Emirates","outbound",0,0,0,0,0,0,0,0,2300,2842,2849,3241,3515,3494,4768
"IT","EG","Eurocontrol","Middle East","Italy","Egypt","outbound",5545,6010,6975,8122,6942,6750,7815,8299,8276,8964,5575,6648,5482,4995,3891
"IT","IL","Eurocontrol","Middle East","Italy","Israel","outbound",1914,0,0,1947,2316,2337,2675,3010,3344,3740,3658,3613,3839,4138,4180
"IT","MA","Eurocontrol","Africa","Italy","Morocco","outbound",1957,1833,1832,2031,2411,2595,3288,3569,3912,5227,4967,3905,4571,4514,4777
"IT","QA","Eurocontrol","Middle East","Italy","Qatar","outbound",0,0,0,0,0,0,0,0,0,0,0,1975,2076,2139,2200
"IT","RU","Eurocontrol","Asia","Italy","Russian Federation","outbound",2673,2868,3289,3624,4228,5436,7154,7502,6485,7559,8870,9640,11803,11731,9146
"IT","TN","Eurocontrol","Africa","Italy","Tunisia","outbound",4709,4500,4827,5162,5497,5394,5326,5034,4553,4536,2794,3487,3614,3695,2472
"IT","US","Eurocontrol","America","Italy","United States","outbound",7555,6713,6623,7347,7750,8284,9015,9144,7843,7782,7749,7175,7328,8233,8364
"JO","TR","Middle East","Eurocontrol","Jordan","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,1908,2056,2127,2453,2536
"JP","DE","Asia","Eurocontrol","Japan","Germany","inbound",1841,1863,1846,2004,2063,2139,2171,2164,2093,2238,2459,2885,2931,3278,3430
"JP","FR","Asia","Eurocontrol","Japan","France","inbound",1955,2052,2274,2545,2818,2939,2896,2749,2411,2051,2148,2194,2197,2833,2975
"JP","GB","Asia","Eurocontrol","Japan","United Kingdom","inbound",2351,2354,2300,2556,2543,2218,2193,2181,0,0,0,0,0,0,0
"KG","TR","Asia","Eurocontrol","Kyrgyzstan","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880
"KR","DE","Asia","Eurocontrol","Korea, Republic of","Germany","inbound",0,0,0,0,0,0,0,1826,0,0,1953,0,0,0,0
"KW","TR","Middle East","Eurocontrol","Kuwait","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,2128,2876
"KZ","DE","Asia","Eurocontrol","Kazakhstan","Germany","inbound",0,0,0,0,0,0,2467,2684,1973,1948,0,0,0,0,0
"KZ","TR","Asia","Eurocontrol","Kazakhstan","Turkey","inbound",0,0,0,0,0,1874,1995,2296,2287,2432,3124,3188,3403,3765,3399
"LB","AE","Middle East","Middle East","Lebanon","United Arab Emirates","overflying",0,0,0,0,0,0,0,0,0,0,0,0,2768,3262,3625
"LB","EG","Middle East","Middle East","Lebanon","Egypt","overflying",0,0,0,0,0,0,0,0,0,2110,0,2004,2551,2311,2417
"LB","TR","Middle East","Eurocontrol","Lebanon","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,2354,2854,2787,3149,4425
"LV","RU","Eurocontrol","Asia","Latvia","Russian Federation","outbound",0,0,0,0,0,0,0,0,0,0,3186,3881,4188,4235,3662
"LY","TR","Africa","Eurocontrol","Libya","Turkey","inbound",0,0,0,0,0,0,0,0,0,2291,0,3205,3575,3048,2028
"MA","BE","Africa","Eurocontrol","Morocco","Belgium","inbound",0,0,0,1902,2336,2537,2940,2993,3294,3862,4370,4185,4548,4547,4366
"MA","DE","Africa","Eurocontrol","Morocco","Germany","inbound",0,0,0,0,0,0,1848,2064,1984,2436,2627,2235,2961,2853,3294
"MA","ES","Africa","Eurocontrol","Morocco","Spain","inbound",5546,5184,4827,5401,6079,5932,7650,7717,8841,9756,9259,7841,8312,8244,8402
"MA","FR","Africa","Eurocontrol","Morocco","France","inbound",10705,11656,12653,13760,15579,17246,20180,20727,20600,21771,21111,20462,21613,21470,21072
"MA","GB","Africa","Eurocontrol","Morocco","United Kingdom","inbound",0,0,0,0,0,2500,3433,2331,2451,3007,3328,2952,3340,4000,4131
"MA","IT","Africa","Eurocontrol","Morocco","Italy","inbound",1910,1859,1872,2034,2408,2625,3270,3582,3909,5241,4982,3905,4604,4501,4782
"MA","MA","Africa","Africa","Morocco","Morocco","overflying",12542,15165,15203,14297,8102,20126,19852,21012,23022,24360,20319,16064,17240,19044,19259
"MA","NL","Africa","Eurocontrol","Morocco","Netherlands","inbound",0,0,0,0,0,0,0,0,0,0,0,0,2220,2238,2148
"MD","RU","Eurocontrol","Asia","Moldova, Republic of","Russian Federation","outbound",0,0,0,0,0,0,0,0,0,0,0,0,1831,2447,3883
"MQ","FR","America","Eurocontrol","Martinique","France","inbound",3050,3112,2398,2716,2621,2730,2920,2840,2748,2791,2935,2914,3223,3047,3039
"MX","ES","America","Eurocontrol","Mexico","Spain","inbound",0,0,0,0,1852,1991,1877,1926,0,1865,0,0,0,0,0
"MX","GB","America","Eurocontrol","Mexico","United Kingdom","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893
"NG","GB","Africa","Eurocontrol","Nigeria","United Kingdom","inbound",0,0,0,0,0,0,0,1835,0,0,1845,1848,0,0,0
"NL","AE","Eurocontrol","Middle East","Netherlands","United Arab Emirates","outbound",0,1950,2181,2200,2349,2237,1923,0,0,2519,2722,1964,2455,2700,2641
"NL","CA","Eurocontrol","America","Netherlands","Canada","outbound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058
"NL","CN","Eurocontrol","Asia","Netherlands","China","outbound",0,0,0,0,0,0,1956,2192,1948,2434,2721,2943,3169,3314,3224
"NL","MA","Eurocontrol","Africa","Netherlands","Morocco","outbound",0,0,0,0,0,0,0,0,0,0,0,0,2214,2223,2142
"NL","RU","Eurocontrol","Asia","Netherlands","Russian Federation","outbound",0,0,0,0,0,0,1870,2223,2236,2636,2807,2846,2648,3129,3233
"NL","US","Eurocontrol","America","Netherlands","United States","outbound",11033,10984,11233,11760,12606,12109,12661,13465,11528,11082,11670,11155,11140,11128,11523
"PL","EG","Eurocontrol","Middle East","Poland","Egypt","outbound",0,0,0,0,0,0,1841,2956,2463,3279,2197,2760,0,0,0
"PL","RU","Eurocontrol","Asia","Poland","Russian Federation","outbound",0,0,0,0,0,0,1873,1850,0,2005,2517,2653,2526,2242,1969
"PT","BR","Eurocontrol","America","Portugal","Brazil","outbound",0,0,2152,2609,2867,2803,3100,3448,2995,3300,3549,3607,3558,3705,3684
"PT","US","Eurocontrol","America","Portugal","United States","outbound",0,0,0,0,0,0,0,0,0,0,0,0,0,1833,0
"QA","DE","Middle East","Eurocontrol","Qatar","Germany","inbound",0,0,0,0,0,0,0,0,0,0,2203,2440,2572,2609,2556
"QA","GB","Middle East","Eurocontrol","Qatar","United Kingdom","inbound",0,0,0,0,0,1892,2095,2322,2273,2258,2326,2505,2454,3103,3714
"QA","IT","Middle East","Eurocontrol","Qatar","Italy","inbound",0,0,0,0,0,0,0,0,0,0,0,1973,2054,2010,1995
"QA","TR","Middle East","Eurocontrol","Qatar","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,1953,2995
